Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
City Bank,Lynnwood,Washington,21521,Whidbey Island Bank,16-Apr-10,14-Sep-12
Tamalpais Bank,San Rafael,California,33493,"Union Bank, N.A.",16-Apr-10,23-Aug-12
Innovative Bank,Oakland,California,23876,Center Bank,16-Apr-10,6-Oct-17
Butler Bank,Lowell,Massachusetts,26619,People's United Bank,16-Apr-10,23-Aug-12
Riverside National Bank of Florida,Fort Pierce,Florida,24067,"TD Bank, N.A.",16-Apr-10,21-Mar-14
AmericanFirst Bank,Clermont,Florida,57724,"TD Bank, N.A.",16-Apr-10,21-Mar-14
First Federal Bank of North Florida,Palatka,Florida,28886,"TD Bank, N.A.",16-Apr-10,21-Mar-14
Lakeside Community Bank,Sterling Heights,Michigan,34878,No Acquirer,16-Apr-10,23-Aug-12
Beach First National Bank,Myrtle Beach,South Carolina,34242,Bank of North Carolina,9-Apr-10,13-Feb-18
Desert Hills Bank,Phoenix,Arizona,57060,New York Community Bank,26-Mar-10,23-Aug-12
Unity National Bank,Cartersville,Georgia,34678,Bank of the Ozarks,26-Mar-10,21-Sep-15
Key West Bank,Key West,Florida,34684,Centennial Bank,26-Mar-10,9-Feb-17
McIntosh Commercial Bank,Carrollton,Georgia,57399,CharterBank,26-Mar-10,11-Jul-16
State Bank of Aurora,Aurora,Minnesota,8221,Northern State Bank,19-Mar-10,8-Aug-16
First Lowndes Bank,Fort Deposit,Alabama,24957,First Citizens Bank,19-Mar-10,21-Mar-14
Bank of Hiawassee,Hiawassee,Georgia,10054,Citizens South Bank,19-Mar-10,21-Mar-14
Appalachian Community Bank,Ellijay,Georgia,33989,Community & Southern Bank,19-Mar-10,6-Oct-17
Advanta Bank Corp.,Draper,Utah,33535,No Acquirer,19-Mar-10,31-Mar-16
Century Security Bank,Duluth,Georgia,58104,Bank of Upson,19-Mar-10,13-Apr-16
American National Bank,Parma,Ohio,18806,The National Bank and Trust Company,19-Mar-10,21-Sep-15
Statewide Bank,Covington,Louisiana,29561,Home Bank,12-Mar-10,23-Aug-12
Old Southern Bank,Orlando,Florida,58182,Centennial Bank,12-Mar-10,9-Feb-17
The Park Avenue Bank,New York,New York,27096,Valley National Bank,12-Mar-10,23-Aug-12
LibertyPointe Bank,New York,New York,58071,Valley National Bank,11-Mar-10,23-Aug-12
Centennial Bank,Ogden,Utah,34430,No Acquirer,5-Mar-10,14-Sep-12
Waterfield Bank,Germantown,Maryland,34976,No Acquirer,5-Mar-10,23-Aug-12
Bank of Illinois,Normal,Illinois,9268,Heartland Bank and Trust Company,5-Mar-10,23-Aug-12
Sun American Bank,Boca Raton,Florida,27126,First-Citizens Bank & Trust Company,5-Mar-10,21-Mar-14
Rainier Pacific Bank,Tacoma,Washington,38129,Umpqua Bank,26-Feb-10,23-Aug-12
Carson River Community Bank,Carson City,Nevada,58352,Heritage Bank of Nevada,26-Feb-10,15-Jan-13
"La Jolla Bank, FSB",La Jolla,California,32423,"OneWest Bank, FSB",19-Feb-10,24-Aug-12
George Washington Savings Bank,Orland Park,Illinois,29952,"FirstMerit Bank, N.A.",19-Feb-10,24-Aug-12
The La Coste National Bank,La Coste,Texas,3287,Community National Bank,19-Feb-10,19-Aug-14
Marco Community Bank,Marco Island,Florida,57586,Mutual of Omaha Bank,19-Feb-10,20-Jul-17
1st American State Bank of Minnesota,Hancock,Minnesota,15448,"Community Development Bank, FSB",5-Feb-10,1-Nov-13
American Marine Bank,Bainbridge Island,Washington,16730,Columbia State Bank,29-Jan-10,22-Feb-18
First Regional Bank,Los Angeles,California,23011,First-Citizens Bank & Trust Company,29-Jan-10,4-Mar-16
Community Bank and Trust,Cornelia,Georgia,5702,SCBT National Association,29-Jan-10,13-Apr-16
"Marshall Bank, N.A.",Hallock,Minnesota,16133,United Valley Bank,29-Jan-10,23-Aug-12
Florida Community Bank,Immokalee,Florida,5672,"Puerto Ricoemier American Bank, N.A.",29-Jan-10,21-Mar-14
First National Bank of Georgia,Carrollton,Georgia,16480,Community & Southern Bank,29-Jan-10,22-Feb-18
Columbia River Bank,The Dalles,Oregon,22469,Columbia State Bank,22-Jan-10,14-Sep-12
Evergreen Bank,Seattle,Washington,20501,Umpqua Bank,22-Jan-10,15-Jan-13
Charter Bank,Santa Fe,New Mexico,32498,Charter Bank,22-Jan-10,23-Aug-12
Bank of Leeton,Leeton,Missouri,8265,"Sunflower Bank, N.A.",22-Jan-10,15-Jan-13
Puerto Ricoemier American Bank,Miami,Florida,57147,"Puerto Ricoemier American Bank, N.A.",22-Jan-10,21-Sep-15
Barnes Banking Company,Kaysville,Utah,1252,No Acquirer,15-Jan-10,23-Aug-12
St. Stephen State Bank,St. Stephen,Minnesota,17522,First State Bank of St. Joseph,15-Jan-10,8-Aug-16
Town Community Bank & Trust,Antioch,Illinois,34705,First American Bank,15-Jan-10,23-Aug-12
Horizon Bank,Bellingham,Washington,22977,Washington Federal Savings and Loan Association,8-Jan-10,3-Oct-17
"First Federal Bank of California, F.S.B.",Santa Monica,California,28536,"OneWest Bank, FSB",18-Dec-09,23-Aug-12
Imperial Capital Bank,La Jolla,California,26348,City National Bank,18-Dec-09,5-Sep-12
Independent Bankers' Bank,SPuerto Ricoingfield,Illinois,26820,The Independent BankersBank (TIB),18-Dec-09,23-Aug-12
New South Federal Savings Bank,Irondale,Alabama,32276,Beal Bank,18-Dec-09,23-Aug-12
Citizens State Bank,New Baltimore,Michigan,1006,No Acquirer,18-Dec-09,21-Mar-14
Peoples First Community Bank,Panama City,Florida,32167,Hancock Bank,18-Dec-09,5-Nov-12
RockBridge Commercial Bank,Atlanta,Georgia,58315,No Acquirer,18-Dec-09,21-Mar-14
SolutionsBank,Overland Park,Kansas,4731,Arvest Bank,11-Dec-09,3-Jan-18
"Valley Capital Bank, N.A.",Mesa,Arizona,58399,EnterPuerto Ricoise Bank & Trust,11-Dec-09,20-Oct-16
"Republic Federal Bank, N.A.",Miami,Florida,22846,1st United Bank,11-Dec-09,6-Oct-17
Greater Atlantic Bank,Reston,Virginia,32583,Sonabank,4-Dec-09,21-Mar-14
Benchmark Bank,Aurora,Illinois,10440,"MB Financial Bank, N.A.",4-Dec-09,23-Aug-12
AmTrust Bank,Cleveland,Ohio,29776,New York Community Bank,4-Dec-09,21-Mar-14
The Tattnall Bank,Reidsville,Georgia,12080,Heritage Bank of the South,4-Dec-09,21-Mar-14
First Security National Bank,Norcross,Georgia,26290,State Bank and Trust Company,4-Dec-09,17-Oct-15
The Buckhead Community Bank,Atlanta,Georgia,34663,State Bank and Trust Company,4-Dec-09,21-Mar-14
Commerce Bank of Southwest Florida,Fort Myers,Florida,58016,Central Bank,20-Nov-09,21-Dec-17
Pacific Coast National Bank,San Clemente,California,57914,Sunwest Bank,13-Nov-09,10-Apr-17
Orion Bank,Naples,Florida,22427,IBERIABANK,13-Nov-09,21-Mar-14
"Century Bank, F.S.B.",Sarasota,Florida,32267,IBERIABANK,13-Nov-09,21-Mar-14
United Commercial Bank,San Francisco,California,32469,East West Bank,6-Nov-09,5-Nov-12
Gateway Bank of St. Louis,St. Louis,Missouri,19450,Central Bank of Kansas City,6-Nov-09,22-Aug-12
Puerto Ricoosperan Bank,Oakdale,Minnesota,35074,"Alerus Financial, N.A.",6-Nov-09,22-Aug-12
